Time rel [s],Day rel [d],Time rel [hh:mm:ss],Date abs [yyyy-mm-dd],Time abs [hh:mm:ss],ActivityClass [],Altitude [m],BodyPosition [],EdaArousalMean [],EdaSclMean [uS],EdaScrAmplitudesMean [uS],EdaScrCount [],EdaScrEnergiesMean [uSs],EdaScrHalfRecoveryTimesMean [s],EdaScrRiseTimesMean [s],InclinationDown [deg],InclinationForward [deg],InclinationRight [deg],MovementAcceleration [g],NonWearTime [],StepCount [steps],TempMean [],VerticalSpeed [m/s],temp [Grad Celsius],Markers,Segment id,
29,0,00:00:29,2023-07-11,16:51:06,1,98.38245049,2,0.087301857,9.343866213,0,0,0,0,0,70.32142398,94.84511756,20.31457129,0.197560772,0,0,28.9,0.012009557,28.9,,1,
30,0,00:00:30,2023-07-11,16:51:07,1,98.41394886,2,0.067990755,9.209966213,0,0,0,0,0,70.32142398,94.84511756,20.31457129,0.12711909,0,0,28.9,0.010799811,28.9,,1,
31,0,00:00:31,2023-07-11,16:51:08,1,98.43184257,2,0.052951253,8.887655503,0,0,0,0,0,70.32142398,94.84511756,20.31457129,0.107287952,0,0,28.9,0.008653047,28.9,,1,
32,0,00:00:32,2023-07-11,16:51:09,1,98.43429467,2,0.041238477,8.527121768,0,0,0,0,0,76.59939461,88.24248596,13.51964206,0.039480198,0,0,28.9,0.006254085,28.9,,1,
33,0,00:00:33,2023-07-11,16:51:10,1,98.42524415,2,0.032116558,8.225964248,0,0,0,0,0,76.59939461,88.24248596,13.51964206,0.018806783,0,0,28.9,0.003718182,28.9,,1,
34,0,00:00:34,2023-07-11,16:51:11,1,98.40690055,2,0.025012401,8.030407089,0,0,0,0,0,76.59939461,88.24248596,13.51964206,0.012049978,0,0,28.9,0.000898243,28.9,,1,
35,0,00:00:35,2023-07-11,16:51:12,1,98.38494511,2,0.019479677,7.921913303,0,0,0,0,0,76.59939461,88.24248596,13.51964206,0.015059436,0,0,28.9,-0.001820709,28.9,,1,
36,0,00:00:36,2023-07-11,16:51:13,1,98.36994693,2,0.015170788,7.850462344,0,0,0,0,0,77.59120833,97.33331162,14.47371728,0.01890222,0,0,28.9,-0.003903251,28.9,,1,
37,0,00:00:37,2023-07-11,16:51:14,1,98.36687796,2,0.011815022,7.789592089,0,0,0,0,0,77.59120833,97.33331162,14.47371728,0.016503038,0,0,28.9,-0.005066312,28.9,,1,
38,0,00:00:38,2023-07-11,16:51:15,1,98.37470185,2,0.122921048,7.73247262,0.270121728,1,0.113957604,0,0.84375,77.59120833,97.33331162,14.47371728,0.137288832,0,0,28.8,-0.005468074,28.8,,1,
39,0,00:00:39,2023-07-11,16:51:16,1,98.3903752,2,0.434463157,7.703241487,0.561726014,1,0.201870286,0,0.71875,77.59120833,97.33331162,14.47371728,0.233603808,0,0,28.8,-0.00590569,28.8,,1,
40,0,00:00:40,2023-07-11,16:51:17,1,98.40583799,2,0.475594201,7.791002439,0,0,0,0,0,96.91004751,117.9392974,28.9296948,0.146749503,0,0,28.8,-0.007034334,28.8,,2,
41,0,00:00:41,2023-07-11,16:51:18,1,98.41157651,2,0.370393136,8.049709418,0,0,0,0,0,96.91004751,117.9392974,28.9296948,0.24425944,0,0,28.8,-0.00880219,28.8,,2,
42,0,00:00:42,2023-07-11,16:51:19,1,98.40523638,2,0.680254666,8.490361696,1.059573828,1,0.546342755,1.4375,1.03125,96.91004751,117.9392974,28.9296948,0.143670649,0,0,28.8,-0.01056163,28.8,,2,
43,0,00:00:43,2023-07-11,16:51:20,1,98.38647239,2,0.918088852,8.884039903,0,0,0,0,0,96.91004751,117.9392974,28.9296948,0.1154238,0,0,28.8,-0.011493942,28.8,,2,
44,0,00:00:44,2023-07-11,16:51:21,1,98.35623949,2,0.715008317,9.220000228,0,0,0,0,0,71.93213154,111.5587336,28.74060494,0.15605191,0,0,28.8,-0.011013693,28.8,,2,
45,0,00:00:45,2023-07-11,16:51:22,1,98.3232336,2,0.556849037,9.467049005,0,0,0,0,0,71.93213154,111.5587336,28.74060494,0.159260329,0,0,28.8,-0.009562172,28.8,,2,
46,0,00:00:46,2023-07-11,16:51:23,1,98.29501683,2,0.433674466,9.63640322,0,0,0,0,0,71.93213154,111.5587336,28.74060494,0.13445324,0,0,28.8,-0.008390333,28.8,,2,
47,0,00:00:47,2023-07-11,16:51:24,1,98.27082927,2,0.337746014,9.749300644,0,0,0,0,0,71.93213154,111.5587336,28.74060494,0.172763929,0,0,28.8,-0.008434164,28.8,,2,
48,0,00:00:48,2023-07-11,16:51:25,7,98.24285303,2,0.26303686,9.712751058,0,0,0,0,0,78.19312075,85.88057018,12.52451303,0.332926558,0,0,28.8,-0.010069034,28.8,,2,
49,0,00:00:49,2023-07-11,16:51:26,7,98.20496003,2,0.204853312,9.445905846,0,0,0,0,0,78.19312075,85.88057018,12.52451303,0.253208615,0,0,28.8,-0.012945246,28.8,,2,
50,0,00:00:50,2023-07-11,16:51:27,7,98.16099839,2,0.15953992,9.073438005,0,0,0,0,0,78.19312075,85.88057018,12.52451303,0.326318561,0,0,28.8,-0.015983374,28.8,,2,
51,0,00:00:51,2023-07-11,16:51:28,7,98.12248493,2,0.531802288,8.734243341,0.639390373,1,0.329685661,1.53125,1.03125,78.19312075,85.88057018,12.52451303,0.20231024,0,0,28.8,-0.018190835,28.8,,2,
52,0,00:00:52,2023-07-11,16:51:29,7,98.09805606,2,0.512315239,8.571571429,0,0,0,0,0,68.49360807,60.71164308,37.68553324,0.207935837,0,1,28.8,-0.019281836,28.8,,2,
53,0,00:00:53,2023-07-11,16:51:30,7,98.07941019,2,0.39899151,8.499930268,0,0,0,0,0,68.49360807,60.71164308,37.68553324,0.353319574,0,2,28.8,-0.019703267,28.8,,2,
54,0,00:00:54,2023-07-11,16:51:31,7,98.054809,2,0.3107349,8.302583443,0,0,0,0,0,68.49360807,60.71164308,37.68553324,0.18047367,0,2,28.8,-0.020301979,28.8,,2,
